Year,Total,Violent_Total,Murder,Rape,Robbery,Aggravated_Assault,Property_Total,Burglary,Larceny,Motor Vehicle Theft,Region
2015,179948.0,50088.0,352.0,2244.0,16946.0,30546.0,129860.0,14098.0,108376.0,7386.0,New York City
2014,185191.0,49444.0,333.0,1070.0,16581.0,31460.0,135747.0,15916.0,112107.0,7724.0,New York City
2013,194355.0,52384.0,335.0,1112.0,19170.0,31767.0,141971.0,16606.0,117931.0,7434.0,New York City
2012,195753.0,52993.0,419.0,1162.0,20201.0,31211.0,142760.0,18635.0,115935.0,8190.0,New York City
2011,191666.0,51209.0,515.0,1092.0,19773.0,29829.0,140457.0,18159.0,112864.0,9434.0,New York City
2010,188104.0,48489.0,536.0,1036.0,19608.0,27309.0,139615.0,17926.0,111370.0,10319.0,New York City
2009,188357.0,46357.0,471.0,832.0,18597.0,26457.0,142000.0,18780.0,112526.0,10694.0,New York City
2008,198419.0,48430.0,523.0,890.0,22186.0,24831.0,149989.0,19867.0,117682.0,12440.0,New York City
2007,199941.0,50453.0,496.0,875.0,21787.0,27295.0,149488.0,20914.0,115318.0,13256.0,New York City
2006,205522.0,52086.0,596.0,1071.0,23511.0,26908.0,153436.0,22137.0,115363.0,15936.0,New York City
2005,217132.0,54623.0,539.0,1412.0,24722.0,27950.0,162509.0,23210.0,120918.0,18381.0,New York City
2004,226876.0,55688.0,570.0,1428.0,24373.0,29317.0,171188.0,26100.0,124016.0,21072.0,New York City
2003,236215.0,59448.0,597.0,1609.0,25989.0,31253.0,176767.0,28293.0,124846.0,23628.0,New York City
2002,250631.0,63840.0,587.0,1689.0,27229.0,34335.0,186791.0,30102.0,129655.0,27034.0,New York City
2001,264225.0,68737.0,649.0,1533.0,28206.0,38349.0,195488.0,31564.0,133928.0,29996.0,New York City
2000,287995.0,75739.0,667.0,1643.0,32601.0,40828.0,212256.0,37015.0,139353.0,35888.0,New York City
1999,299909.0,78971.0,671.0,1702.0,36108.0,40490.0,220938.0,40469.0,140771.0,39698.0,New York City
1998,323441.0,85915.0,633.0,2046.0,39378.0,43858.0,237526.0,46221.0,147211.0,44094.0,New York City
1997,356573.0,92866.0,769.0,2158.0,44718.0,45221.0,263707.0,54147.0,157648.0,51912.0,New York City
1996,383603.0,98728.0,983.0,2331.0,49693.0,45721.0,284875.0,61398.0,163096.0,60381.0,New York City
1995,442532.0,114180.0,1178.0,2326.0,59253.0,51423.0,328352.0,73926.0,181740.0,72686.0,New York City
1994,530827.0,136571.0,1561.0,2667.0,72588.0,59755.0,394256.0,88436.0,210400.0,95420.0,New York City
1993,600403.0,153548.0,1946.0,2818.0,86003.0,62781.0,446855.0,99208.0,235183.0,112464.0,New York City
1992,627237.0,159655.0,1995.0,2815.0,91296.0,63549.0,467582.0,103565.0,237049.0,126968.0,New York City
1991,680521.0,170486.0,2154.0,2896.0,98579.0,66857.0,510035.0,112066.0,257983.0,139986.0,New York City
1990,711556.0,174689.0,2245.0,3125.0,100377.0,68942.0,536867.0,120019.0,269720.0,147128.0,New York City
