Year,V_crime_city,NC_crime_city,V_crime_state,NV_crime_state
1981,157080,164429,185592,400551
1982,144111,178367,173355,421205
1983,132766,467566,160741,816881
1984,132462,449259,160421,807165
1985,135336,198180,164355,405630
1986,143325,223704,173988,435297
1987,148422,150397,178770,380437
1988,162978,543909,195181,918716
1989,169542,536669,202374,925941
1990,174626,492635,211916,834678
1991,171246,284460,210492,618414
1992,162477,395792,202571,718911
1993,156056,545895,194667,941869
1994,138454,556423,175298,918137
1995,114062,173135,149584,414862
1996,98708,188476,131860,442210
1997,93094,469568,122779,849609
1998,86209,469165,113036,806074
1999,79258,215863,101781,427466
2000,75946,150987,99934,386860
2002,68478,240710,93005,499878
2003,64003,154755,94360,393606
2004,59622,509152,88362,870248
2005,55905,509720,84274,910274
2006,54780,569765,85412,987640
2007,52194,264845,83754,564147
2008,50556,491490,79785,859006
2009,48549,328098,77394,643614
