,Year,V_crime_city,NC_crime_city,V_crime_state,NV_crime_state,NYC_Crime,NY_crime
0,1981,157080,164429,185592,400551,321509,586143
1,1982,144111,178367,173355,421205,322478,594560
2,1983,132766,467566,160741,816881,600332,977622
3,1984,132462,449259,160421,807165,581721,967586
4,1985,135336,198180,164355,405630,333516,569985
5,1986,143325,223704,173988,435297,367029,609285
6,1987,148422,150397,178770,380437,298819,559207
7,1988,162978,543909,195181,918716,706887,1113897
8,1989,169542,536669,202374,925941,706211,1128315
9,1990,174626,492635,211916,834678,667261,1046594
10,1991,171246,284460,210492,618414,455706,828906
11,1992,162477,395792,202571,718911,558269,921482
12,1993,156056,545895,194667,941869,701951,1136536
13,1994,138454,556423,175298,918137,694877,1093435
14,1995,114062,173135,149584,414862,287197,564446
15,1996,98708,188476,131860,442210,287184,574070
16,1997,93094,469568,122779,849609,562662,972388
17,1998,86209,469165,113036,806074,555374,919110
18,1999,79258,215863,101781,427466,295121,529247
19,2000,75946,150987,99934,386860,226933,486794
20,2002,68478,240710,93005,499878,309188,592883
21,2003,64003,154755,94360,393606,218758,487966
22,2004,59622,509152,88362,870248,568774,958610
23,2005,55905,509720,84274,910274,565625,994548
24,2006,54780,569765,85412,987640,624545,1073052
25,2007,52194,264845,83754,564147,317039,647901
26,2008,50556,491490,79785,859006,542046,938791
27,2009,48549,328098,77394,643614,376647,721008
